"school","city","state","region","conference","division"
"Madonna University","Livonia","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Maine Maritime Academy","Castine","Maine","New England","North Atlantic Conference","NCAA D3"
"Malone University","Canton","Ohio","Great Lakes","Great Midwest Athletic Conference","NCAA D2"
"Manchester University","North Manchester","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Manhattan College","Riverdale","New York","North East","Metro Atlantic Athletic Conference","NCAA D1"
"Manhattanville College","Purchase","New York","North East","MAC Freedom Conference","NCAA D3"
"Manor College","Jenkintown","Pennsylvania","North East","Eastern Pennsylvania Collegiate Conference","JC"
"Mansfield University of Pennsylvania","Mansfield","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Maranatha Baptist University","Watertown","Wisconsin","Great Lakes","NCAA DIII Independent Member","NCAA D3"
"Marian University – Indiana","Indianapolis","Indiana","Great Lakes","Crossroads League","NAIA"
"Marian University – Wisconsin","Fond du Lac","Wisconsin","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Marietta College","Marietta","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Marist College","Poughkeepsie","New York","North East","Metro Atlantic Athletic Conference","NCAA D1"
"Marquette University","Milwaukee","Wisconsin","Great Lakes","Big East Conference","NCAA D1"
"Mars Hill University","Mars Hill","North Carolina","Mid East","South Atlantic Conference","NCAA D2"
"Marshall University","Huntington","West Virginia","Mid East","Conference USA","NCAA D1"
"Marshalltown Community College","Marshalltown","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Martin Luther College","New Ulm","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"Mary Baldwin University","Staunton","Virginia","Mid East","USA South Athletic Conference","NCAA D3"
"Marymount University (VA)","Arlington","Virginia","Mid East","Capital Athletic Conference","NCAA D3"
"Maryville College","Maryville","Tennessee","Mid East","USA South Athletic Conference","NCAA D3"
"Maryville University","Saint Louis","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Marywood University","Scranton","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Massachusetts Bay Community College","Wellesley Hills","Massachusetts","New England","NJCAA Region 21","JC"
"Massachusetts College of Liberal Arts","North Adams","Massachusetts","New England","Massachusetts State Collegiate Athletic Conference","NCAA D3"
"Massachusetts Institute of Technology – MIT","Cambridge","Massachusetts","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"Massasoit Community College","Brockton","Massachusetts","New England","NJCAA Region 21","JC"
"Mayville State University","Mayville","North Dakota","North West","North Star Athletic Association","NAIA"
"McDaniel College","Westminster","Maryland","North East","Centennial Conference","NCAA D3"
"McHenry County College","Crystal Lake","Illinois","Great Lakes","Illinois Skyway Collegiate Conference ","JC"
"McKendree University","Lebanon","Illinois","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"McLennan Community College","Waco","Texas","Mid South","NJCAA Region 5","JC"
"McMurry University","Abilene","Texas","Mid South","American Southwest Conference","NCAA D3"
"McNeese State University","Lake Charles","Louisiana","Mid South","Southland Conference","NCAA D1"
"McPherson College","McPherson","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Menlo College","Atherton","California","West Coast","Golden State Athletic Conference","NAIA"
"Mercer County Community College","West Windsor","New Jersey","North East","Garden State Athletic Conference","JC"
"Mercer University","Macon","Georgia","South East","Southern Conference","NCAA D1"
"Mercy College","Dobbs Ferry","New York","North East","East Coast Conference","NCAA D2"
"Mercyhurst University","Erie","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Meridian Community College","Meridian","Mississippi","Mid South","MACJC","JC"
"Merrimack College","North Andover","Massachusetts","New England","Northeast-10 Conference","NCAA D1"
"Merritt College","Oakland","California","West Coast","Bay Valley Conference","JC"
"Mesa Community College","Mesa","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Mesabi Range College","Virginia","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Messiah University","Mechanicsburg","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Methodist University","Fayetteville","North Carolina","Mid East","USA South Athletic Conference","NCAA D3"
"Metropolitan Community College – Penn Valley","Kansas City","Missouri","Mid West","NJCAA Region 16","JC"
"Metropolitan State University of Denver","Denver","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Miami Dade College","Miami","Florida","South East","Florida College System Activities Association","JC"
"Miami University","Oxford","Ohio","Great Lakes","Mid-American Conference","NCAA D1"
"Miami University – Hamilton","Hamilton","Ohio","Great Lakes","Ohio Regional Campus Conference","JC"
"Miami University – Middletown","Middletown","Ohio","Great Lakes","Ohio Regional Campus Conference","JC"
"Michigan State University","East Lansing","Michigan","Great Lakes","Big Ten Conference","NCAA D1"
"Michigan Technological University","Houghton","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Mid-America Christian University","Oklahoma City","Oklahoma","Mid South","Sooner Athletic Conference","NAIA"
"MidAmerica Nazarene University","Olathe","Kansas","Mid West","Heart of America Athletic Conference","NAIA"
"Middle Georgia State University","Macon","Georgia","South East","Southern States Athletic Conference","NAIA"
"Middle Tennessee State University","Murfreesboro","Tennessee","Mid East","Conference USA","NCAA D1"
"Middlebury College","Middlebury","Vermont","New England","New England Small College Athletic Conference","NCAA D3"
"Middlesex College","Edison","New Jersey","North East","Garden State Athletic Conference","JC"
"Midland College","Midland","Texas","Mid South","NJCAA Region 5","JC"
"Midland University","Fremont","Nebraska","Mid West","Great Plains Athletic Conference","NAIA"
"Midway University","Midway","Kentucky","Mid East","River States Conference","NAIA"
"Midwestern State University","Wichita Falls","Texas","Mid South","Lone Star Conference","NCAA D2"
"Miles College","Fairfield","Alabama","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Miles Community College","Miles City","Montana","North West","Mon-Dak Athletic Conference","JC"
"Millersville University of Pennsylvania","Millersville","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Milligan University","Milligan University","Tennessee","Mid East","Appalachian Athletic Conference","NAIA"
"Millikin University","Decatur","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Millsaps College","Jackson","Mississippi","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Milwaukee Area Technical College","Milwaukee","Wisconsin","Great Lakes","North Central Community College Conference","JC"
"Milwaukee School of Engineering","Milwaukee","Wisconsin","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Mineral Area College","Park Hills","Missouri","Mid West","Missouri Community College Athletic Conference","JC"
"Minnesota State Community & Technical College","Fergus Falls","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Minnesota State University – Mankato","Mankato","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Minnesota State University – Moorhead","Moorhead","Minnesota","Mid West","Northern Sun Intercollegiate Conference","NCAA D2"
"Minnesota West Community & Technical College","Granite Falls","Minnesota","Mid West","Minnesota Community College Conference","JC"
"Minot State University","Minot","North Dakota","North West","Northern Sun Intercollegiate Conference (NCAA Division II)","NCAA D2"
"MiraCosta College","Oceanside","California","West Coast","Pacific Coast Athletic Conference","JC"
"Misericordia University","Dallas","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Mississippi College","Clinton","Mississippi","Mid South","Gulf South Conference","NCAA D2"
"Mississippi Delta Community College","Moorhead","Mississippi","Mid South","Mississippi Association of Community College Conference","JC"
"Mississippi Gulf Coast Community College","Perkinston","Mississippi","Mid South","Mississippi Association of Community College Conference","JC"
"Mississippi State University","Mississippi State","Mississippi","Mid South","Southeastern Conference","NCAA D1"
"Mississippi Valley State University","Itta Bena","Mississippi","Mid South","Southwestern Athletic Conference","NCAA D1"
"Missouri Baptist University","Saint Louis","Missouri","Mid West","American Midwest Conference","NAIA"
"Missouri Southern State University","Joplin","Missouri","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Missouri State University","Springfield","Missouri","Mid West","Missouri Valley Conference","NCAA D1"
"Missouri State University – West Plains","West Plains","Missouri","Mid West","Missouri Community College Athletic Conference","JC"
"Missouri University of Science & Technology","Rolla","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Missouri Valley College","Marshall","Missouri","Mid West","Heart of America Athletic Conference","NAIA"
"Missouri Western State University","St. Joseph","Missouri","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Mitchell College","New London","Connecticut","New England","New England Collegiate Conference","NCAA D3"
"Moberly Area Community College","Moberly","Missouri","Mid West","Missouri Community College Athletic Conference","JC"
"Modesto Junior College","Modesto","California","West Coast","Central Valley Conference","JC"
"Molloy College","Rockville Centre","New York","North East","East Coast Conference","NCAA D2"
"Monmouth College","Monmouth","Illinois","Great Lakes","Midwest Conference","NCAA D3"
"Monmouth University","West Long Branch","New Jersey","North East","Big South Conference","NCAA D1"
"Monroe College – New Rochelle","New Rochelle","New York","North East","NJCAA Region 15","JC"
"Montana State University","Bozeman","Montana","North West","Big Sky Conference","NCAA D1"
"Montana State University – Billings","Billings","Montana","North West","Great Northwest Athletic Conference","NCAA D2"
"Montana State University – Northern","Havre","Montana","North West","Frontier Conference","NAIA"
"Montana Tech of the University of Montana","Butte","Montana","North West","Frontier Conference","NAIA"
"Montclair State University","Montclair","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"Montgomery College","Rockville","Maryland","North East","Maryland Junior College Athletic Conference","JC"
"Montreat College","Montreat","North Carolina","Mid East","Appalachian Athletic Conference","NAIA"
"Moorpark College","Moorpark","California","West Coast","Western States Conference","JC"
"Moraine Valley Community College","Palos Hills","Illinois","Great Lakes","Skyway Conference","JC"
"Moravian University","Bethlehem","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Morehead State University","Morehead","Kentucky","Mid East","Ohio Valley Conference","NCAA D1"
"Morehouse College","Atlanta","Georgia","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Morgan State University","Baltimore","Maryland","North East","Mid-Eastern Athletic Conference","NCAA D1"
"Morningside University","Sioux City","Iowa","Mid West","Great Plains Athletic Conference","NAIA"
